"Liga/Kategorie","Angezeigter Name (offiziell)","TTS-Vorlage"

"Bundesliga","1. FSV Mainz 05","Erster FSV Mainz 05"
"Bundesliga","1. FC Union Berlin","Erster FC Union Berlin"
"Bundesliga","1. FC Köln","Erster FC Köln"
"2. Bundesliga","1. FC Magdeburg","Erster FC Magdeburg"
"2. Bundesliga","1. FC Heidenheim","Erster FC Heidenheim"
"2. Bundesliga","1. FC Kaiserslautern","Erster FC Kaiserslautern"
"2. Bundesliga","1. FC Nürnberg","Erster FC Nürnberg"
"2. Bundesliga","Hannover 96","Hannover sechs und neunzig"
"2. Bundesliga","SpVgg Greuther Fürth","Spielvereinigung Greuther Fürth"
"2. Bundesliga","SV Darmstadt 98","SV Darmstadt acht und neunzig"
"3. Liga","1. FC Saarbrücken","Erster FC Saarbrücken"
"3. Liga","SC Verl","SC Wärl"
